"Gene_Name" "Gene_ID"
"431" "SLA1-LDB7" "YBL007C-YBL006C"
"432" "LDB7-PDR3" "YBL006C-YBL005W"
"433" "PDR3-YBL005W-A" "YBL005W-YBL005W-A"
"434" "tS(AGA)B" "tS(AGA)B"
"435" "UTP20" "YBL004W"
"436" "YBL005W-B-tS(AGA)B" "YBL005W-B-tS(AGA)B"
"437" "tS(AGA)B-UTP20" "tS(AGA)B-YBL004W"
"438" "HTA2" "YBL003C"
"439" "HTB2" "YBL002W"
"440" "ECM15" "YBL001C"
"441" "NTH2" "YBR001C"
"442" "HTA2-HTB2" "YBL003C-YBL002W"
"443" "RER2" "YBR002C"
"444" "HTB2-ECM15" "YBL002W-YBL001C"
"445" "ECM15-NTH2" "YBL001C-YBR001C"
"446" "COQ1" "YBR003W"
"447" "GPI18" "YBR004C"
"448" "RCR1" "YBR005W"
"449" "NTH2-RER2" "YBR001C-YBR002C"
"450" "UGA2" "YBR006W"
"451" "RER2-COQ1" "YBR002C-YBR003W"
"452" "DSF2" "YBR007C"
"453" "GPI18-RCR1" "YBR004C-YBR005W"
"454" "RCR1-UGA2" "YBR005W-YBR006W"
"455" "FLR1" "YBR008C"
"456" "UGA2-DSF2" "YBR006W-YBR007C"
"457" "HHF1" "YBR009C"
"458" "DSF2-FLR1" "YBR007C-YBR008C"
"459" "HHT1" "YBR010W"
"460" "IPP1" "YBR011C"
"461" "YBR012C" "YBR012C"
"462" "FLR1-HHF1" "YBR008C-YBR009C"
"463" "YBR012W-A" "YBR012W-A"
"464" "YBR012W-B" "YBR012W-B"
"465" "HHF1-HHT1" "YBR009C-YBR010W"
"466" "HHT1-IPP1" "YBR010W-YBR011C"
"467" "IPP1-YBR012C" "YBR011C-YBR012C"
"468" "tT(AGU)B" "tT(AGU)B"
"469" "YBR013C" "YBR013C"
"470" "GRX7" "YBR014C"
"471" "MNN2" "YBR015C"
"472" "YBR016W" "YBR016W"
"473" "KAP104" "YBR017C"
"474" "YBR013C-tT(AGU)B" "YBR013C-tT(AGU)B"
"475" "tT(AGU)B-GRX7" "tT(AGU)B-YBR014C"
"476" "GRX7-MNN2" "YBR014C-YBR015C"
"477" "GAL7" "YBR018C"
"478" "MNN2-YBR016W" "YBR015C-YBR016W"
"479" "GAL10" "YBR019C"
"480" "KAP104-GAL7" "YBR017C-YBR018C"
"481" "GAL1" "YBR020W"
"482" "GAL7-GAL10" "YBR018C-YBR019C"
"483" "FUR4" "YBR021W"
"484" "GAL10-GAL1" "YBR019C-YBR020W"
"485" "POA1" "YBR022W"
"486" "CHS3" "YBR023C"
"487" "GAL1-FUR4" "YBR020W-YBR021W"
"488" "FUR4-POA1" "YBR021W-YBR022W"
"489" "SCO2" "YBR024W"
"490" "OLA1" "YBR025C"
"491" "ETR1" "YBR026C"
"492" "CHS3-SCO2" "YBR023C-YBR024W"
"493" "YBR027C" "YBR027C"
"494" "YPK3" "YBR028C"
"495" "SCO2-OLA1" "YBR024W-YBR025C"
"496" "CDS1" "YBR029C"
"497" "OLA1-ETR1" "YBR025C-YBR026C"
"498" "RKM3" "YBR030W"
"499" "RPL4A" "YBR031W"
"500" "YPK3-CDS1" "YBR028C-YBR029C"
"501" "YBR032W" "YBR032W"
"502" "EDS1" "YBR033W"
"503" "CDS1-RKM3" "YBR029C-YBR030W"
"504" "HMT1" "YBR034C"
"505" "RKM3-RPL4A" "YBR030W-YBR031W"
"506" "PDX3" "YBR035C"
"507" "RPL4A-YBR032W" "YBR031W-YBR032W"
"508" "YBR032W-EDS1" "YBR032W-YBR033W"
"509" "SNR161" "snR161"
"510" "TLC1" "TLC1"
"511" "CSG2" "YBR036C"
"512" "SCO1" "YBR037C"
"513" "HMT1-PDX3" "YBR034C-YBR035C"
"514" "CHS2" "YBR038W"
"515" "PDX3-SNR161" "YBR035C-snR161"
"516" "SNR161-TLC1" "snR161-TLC1"
"517" "TLC1-CSG2" "TLC1-YBR036C"
"518" "CSG2-SCO1" "YBR036C-YBR037C"
"519" "ATP3" "YBR039W"
"520" "SCO1-CHS2" "YBR037C-YBR038W"
"521" "FIG1" "YBR040W"
"522" "FAT1" "YBR041W"
"523" "CHS2-ATP3" "YBR038W-YBR039W"
"524" "CST26" "YBR042C"
"525" "ATP3-FIG1" "YBR039W-YBR040W"
"526" "QDR3" "YBR043C"
"527" "FIG1-FAT1" "YBR040W-YBR041W"
"528" "TCM62" "YBR044C"
